brand,name,product_id,price,size,stock,gender,image_url
Nike,Nike Air Max 97,921733-104,16995,43,12,men,"[""https://static.nike.com/a/images/t_PDP_1728_v1/yjqmkq0palweeugucqym/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/unbrw8ht9ngkkqx3diyn/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/emdjkbs7tjhkjlk9tenf/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/xzuafpguhgjv2f07en8h/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/n1hzuek40ekdsdjgdu5m/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/gsnolfknxrjbthrzptdi/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/vsk0domwpdvnmgdpchdo/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dgwtlr767ddimcldnxao/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ej7jjxf4ezdetung7jn4/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tjjtwfrvmvibqyvbnxxx/air-max-97-shoe-C1Xtkx.jpg""]"
Nike,Nike Air Max 97,921733-104,16995,44,12,men,"[""https://static.nike.com/a/images/t_PDP_1728_v1/yjqmkq0palweeugucqym/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/unbrw8ht9ngkkqx3diyn/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/emdjkbs7tjhkjlk9tenf/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/xzuafpguhgjv2f07en8h/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/n1hzuek40ekdsdjgdu5m/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/gsnolfknxrjbthrzptdi/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/vsk0domwpdvnmgdpchdo/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dgwtlr767ddimcldnxao/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ej7jjxf4ezdetung7jn4/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tjjtwfrvmvibqyvbnxxx/air-max-97-shoe-C1Xtkx.jpg""]"
Nike,Nike Air Max 97,921733-104,16995,45,12,men,"[""https://static.nike.com/a/images/t_PDP_1728_v1/yjqmkq0palweeugucqym/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/unbrw8ht9ngkkqx3diyn/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/emdjkbs7tjhkjlk9tenf/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/xzuafpguhgjv2f07en8h/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/n1hzuek40ekdsdjgdu5m/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/gsnolfknxrjbthrzptdi/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/vsk0domwpdvnmgdpchdo/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dgwtlr767ddimcldnxao/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ej7jjxf4ezdetung7jn4/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tjjtwfrvmvibqyvbnxxx/air-max-97-shoe-C1Xtkx.jpg""]"
Nike,Nike Air Max 97,921733-104,16995,46,12,men,"[""https://static.nike.com/a/images/t_PDP_1728_v1/yjqmkq0palweeugucqym/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/unbrw8ht9ngkkqx3diyn/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/emdjkbs7tjhkjlk9tenf/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/xzuafpguhgjv2f07en8h/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/n1hzuek40ekdsdjgdu5m/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/gsnolfknxrjbthrzptdi/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/vsk0domwpdvnmgdpchdo/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dgwtlr767ddimcldnxao/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ej7jjxf4ezdetung7jn4/air-max-97-shoe-C1Xtkx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tjjtwfrvmvibqyvbnxxx/air-max-97-shoe-C1Xtkx.jpg""]"
Adidas,Adidas Originals NMD_Racer Primeknit Shoes,AH2430,14999,36,12,women,https://img.adidas.com.hk/resources/2019/8/1/1564642619579600_2000X2000.jpg
Adidas,Adidas Originals NMD_Racer Primeknit Shoes,AH2430,14999,37,12,women,https://img.adidas.com.hk/resources/2019/8/1/1564642619579600_2000X2000.jpg
Adidas,Adidas Originals NMD_Racer Primeknit Shoes,AH2430,14999,38,12,women,https://img.adidas.com.hk/resources/2019/8/1/1564642619579600_2000X2000.jpg
Adidas,Adidas Originals NMD_Racer Primeknit Shoes,AH2430,14999,39,12,women,https://img.adidas.com.hk/resources/2019/8/1/1564642619579600_2000X2000.jpg
Adidas,Adidas Originals NMD_Racer Primeknit Shoes,AH2430,14999,40,12,women,https://img.adidas.com.hk/resources/2019/8/1/1564642619579600_2000X2000.jpg
Adidas,Adidas Originals NMD_Racer Primeknit Shoes,AH2430,14999,41,12,women,https://img.adidas.com.hk/resources/2019/8/1/1564642619579600_2000X2000.jpg
Adidas,Adidas Originals NMD_Racer Primeknit Shoes,AH2430,14999,42,12,women,https://img.adidas.com.hk/resources/2019/8/1/1564642619579600_2000X2000.jpg
Nike,Nike Air VaporMax Flyknit 3,AJ6910-009,16995,40,12,men,"[""https://static.nike.com/a/images/t_PDP_1728_v1/kkzgjehyhuatfh6wftwa/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dqmteyk7nh9bsj35r4bd/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/h0wun1yyv02qgzbeewq3/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cibilyendecvo5lbamox/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/wg2ocgcjo2iv4pvwvuvt/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pnnrv7cxax8xcw9ywewz/air-vapormax-flyknit-3-shoe-FZBdxt.jpg""]"
Nike,Nike Air VaporMax Flyknit 3,AJ6910-009,16995,41,12,men,"[""https://static.nike.com/a/images/t_PDP_1728_v1/kkzgjehyhuatfh6wftwa/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dqmteyk7nh9bsj35r4bd/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/h0wun1yyv02qgzbeewq3/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cibilyendecvo5lbamox/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/wg2ocgcjo2iv4pvwvuvt/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pnnrv7cxax8xcw9ywewz/air-vapormax-flyknit-3-shoe-FZBdxt.jpg""]"
Nike,Nike Air VaporMax Flyknit 3,AJ6910-009,16995,42,12,men,"[""https://static.nike.com/a/images/t_PDP_1728_v1/kkzgjehyhuatfh6wftwa/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dqmteyk7nh9bsj35r4bd/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/h0wun1yyv02qgzbeewq3/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cibilyendecvo5lbamox/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/wg2ocgcjo2iv4pvwvuvt/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pnnrv7cxax8xcw9ywewz/air-vapormax-flyknit-3-shoe-FZBdxt.jpg""]"
Nike,Nike Air VaporMax Flyknit 3,AJ6910-009,16995,43,12,men,"[""https://static.nike.com/a/images/t_PDP_1728_v1/kkzgjehyhuatfh6wftwa/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dqmteyk7nh9bsj35r4bd/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/h0wun1yyv02qgzbeewq3/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cibilyendecvo5lbamox/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/wg2ocgcjo2iv4pvwvuvt/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pnnrv7cxax8xcw9ywewz/air-vapormax-flyknit-3-shoe-FZBdxt.jpg""]"
Nike,Nike Air VaporMax Flyknit 3,AJ6910-009,16995,44,12,men,"[""https://static.nike.com/a/images/t_PDP_1728_v1/kkzgjehyhuatfh6wftwa/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dqmteyk7nh9bsj35r4bd/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/h0wun1yyv02qgzbeewq3/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cibilyendecvo5lbamox/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/wg2ocgcjo2iv4pvwvuvt/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pnnrv7cxax8xcw9ywewz/air-vapormax-flyknit-3-shoe-FZBdxt.jpg""]"
Nike,Nike Air VaporMax Flyknit 3,AJ6910-009,16995,45,12,men,"[""https://static.nike.com/a/images/t_PDP_1728_v1/kkzgjehyhuatfh6wftwa/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dqmteyk7nh9bsj35r4bd/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/h0wun1yyv02qgzbeewq3/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cibilyendecvo5lbamox/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/wg2ocgcjo2iv4pvwvuvt/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pnnrv7cxax8xcw9ywewz/air-vapormax-flyknit-3-shoe-FZBdxt.jpg""]"
Nike,Nike Air VaporMax Flyknit 3,AJ6910-009,16995,46,12,men,"[""https://static.nike.com/a/images/t_PDP_1728_v1/kkzgjehyhuatfh6wftwa/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dqmteyk7nh9bsj35r4bd/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/h0wun1yyv02qgzbeewq3/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cibilyendecvo5lbamox/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/wg2ocgcjo2iv4pvwvuvt/air-vapormax-flyknit-3-shoe-FZBdxt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pnnrv7cxax8xcw9ywewz/air-vapormax-flyknit-3-shoe-FZBdxt.jpg""]"
Nike,Nike Metcon 5,AO2982-076,10995,36,12,women,"[""https://static.nike.com/a/images/t_PDP_1728_v1/dwe5t2ud63ngcz8mprao/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pmjcf7hb84xelefhomc7/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/qhnkgxhaaesvmyvlvomo/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dxe7js2nkpezadlrmnq4/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/hafa7ql64hhdirn6xfkn/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/e4bdaz0c9jthe6zxy566/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cf1mxyhtsmmdhyr94oq0/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/g1inosu4fo9z70fs4vxt/metcon-5-training-shoe-H1rNmq.jpg""]"
Nike,Nike Metcon 5,AO2982-076,10995,37,12,women,"[""https://static.nike.com/a/images/t_PDP_1728_v1/dwe5t2ud63ngcz8mprao/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pmjcf7hb84xelefhomc7/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/qhnkgxhaaesvmyvlvomo/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dxe7js2nkpezadlrmnq4/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/hafa7ql64hhdirn6xfkn/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/e4bdaz0c9jthe6zxy566/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cf1mxyhtsmmdhyr94oq0/metcon-5-training-shoe-H1rNmq.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/g1inosu4fo9z70fs4vxt/metcon-5-training-shoe-H1rNmq.jpg""]"
